Date;Check;Article;Count;Cost
01.03.2017;IT010010;0100597;1;2144
01.03.2017;IT010011;0100598;1;919
01.03.2017;IT010011;0102341;1;798
01.03.2017;IT010012;0102342;1;1007
01.03.2017;IT010012;0102392;1;35264
01.03.2017;IT010013;0102478;2;371
01.03.2017;IT010013;0102491;2;996
01.03.2017;IT010014;0102492;1;1032
01.03.2017;IT010015;0102493;1;1032
01.03.2017;IT010015;0102548;1;35264
01.03.2017;IT010016;0102549;1;371
01.03.2017;IT010016;0102584;1;1396
01.03.2017;IT010017;0102721;2;996
01.03.2017;IT010017;0102722;2;1032
01.03.2017;IT010017;0102723;1;337
01.03.2017;IT010017;0103152;1;6320
01.03.2017;IT010017;0105757;1;1922
01.03.2017;IT010018;0105759;1;736
01.03.2017;IT010018;0110145;1;2119
01.03.2017;IT010018;0101041;1;1439
01.03.2017;IT010019;0105755;1;423
01.03.2017;IT010019;0102313;1;1839
01.03.2017;IT0100110;0102339;1;1592
01.03.2017;IT0100110;0102578;1;1592
01.03.2017;IT0100111;0102440;1;7040
01.03.2017;IT0100111;0102454;1;4392
01.03.2017;IT0100112;0102461;1;1739
01.03.2017;IT0100112;0102467;1;2318
01.03.2017;IT0100113;0101326;1;4959
01.03.2017;IT0100113;0101329;1;6072
01.03.2017;IT0100114;0101330;1;4792
01.03.2017;IT0100115;0101339;1;4278
01.03.2017;IT0100116;0111515;2;968
02.03.2017;IT0100116;0101332;1;9191
02.03.2017;IT0100116;0102440;1;7040
02.03.2017;IT0100116;0102442;1;2194
02.03.2017;IT0100117;0102447;1;2194
02.03.2017;IT0100118;0102454;1;4392
02.03.2017;IT0100119;0102461;2;1739
02.03.2017;IT0100119;0102469;1;3984
02.03.2017;IT0100120;0102470;1;3984
02.03.2017;IT0100121;0102471;1;3984
02.03.2017;IT0100121;0102474;1;17592
02.03.2017;IT0100121;0101323;1;4819
02.03.2017;IT0100122;0101326;1;4959
02.03.2017;IT0100122;0101329;1;6072
02.03.2017;IT0100123;0101336;2;10622
02.03.2017;IT0100124;0101337;1;6350
02.03.2017;IT0100124;0101339;1;4278
02.03.2017;IT0100124;0111513;1;2184
02.03.2017;IT0100124;0102439;1;11920
02.03.2017;IT0100125;0102444;1;4392
02.03.2017;IT0100125;0102453;1;6696
02.03.2017;IT0100126;0100600;1;1920
02.03.2017;IT0100127;0101339;1;4278
02.03.2017;IT0100127;0102377;1;35188
02.03.2017;IT0100127;0102439;1;11920
02.03.2017;IT0100128;0102453;1;6696
02.03.2017;IT0100129;0102470;1;3984
02.03.2017;IT0100130;0102482;1;1396
02.03.2017;IT0100130;0102491;1;996
02.03.2017;IT0100130;0102492;1;1032
02.03.2017;IT0100131;0102493;1;1032
02.03.2017;IT0100131;0102548;2;35264
02.03.2017;IT0100132;0102584;1;1396
02.03.2017;IT0100132;0102721;1;996
02.03.2017;IT0100132;0102722;1;1032
02.03.2017;IT0100133;0102723;1;337
02.03.2017;IT0100134;0103151;1;1999
02.03.2017;IT0100134;0103152;1;6320
02.03.2017;IT0100135;0105735;1;1439
02.03.2017;IT0100135;0105736;1;1922
02.03.2017;IT0100136;0105743;1;399
02.03.2017;IT0100136;0105747;1;560
02.03.2017;IT0100136;0105759;2;736
02.03.2017;IT0100136;0102307;1;1592
02.03.2017;IT0100137;0102310;1;1592
02.03.2017;IT0100137;0102312;1;3032
02.03.2017;IT0100138;0102313;1;1839
02.03.2017;IT0100139;0102436;2;2856
02.03.2017;IT0100139;0102439;1;11920
02.03.2017;IT0100140;0102442;2;2194
02.03.2017;IT0100141;0102444;1;4392
02.03.2017;IT0100141;0102447;1;2194
02.03.2017;IT0100142;0102453;1;6696
02.03.2017;IT0100142;0102474;1;17592
02.03.2017;IT0100142;0110485;1;564
02.03.2017;IT0100143;0102341;1;798
02.03.2017;IT0100143;0102381;1;6320
02.03.2017;IT0100144;0102398;1;35188
02.03.2017;IT0100144;0102486;1;337
02.03.2017;IT0100145;0102493;1;1032
02.03.2017;IT0100146;0102584;1;1396
02.03.2017;IT0100147;0105759;1;736
02.03.2017;IT0100147;0100597;1;2144
02.03.2017;IT0100148;0102307;1;1592
02.03.2017;IT0100148;0102310;1;1592
02.03.2017;IT0100149;0102313;1;1839
02.03.2017;IT0100149;0102330;1;1599
02.03.2017;IT0100150;0102306;1;1592
02.03.2017;IT0100151;0102308;1;1592
02.03.2017;IT0100152;0102309;1;1592
03.03.2017;IT0100152;0102439;1;11920
03.03.2017;IT0100152;0102329;1;1599
03.03.2017;IT0100153;0102334;1;1839
03.03.2017;IT0100153;0100597;1;2144
03.03.2017;IT0100154;0100600;1;1920
03.03.2017;IT0100154;0102306;1;1592
03.03.2017;IT0100154;0102307;2;1592
03.03.2017;IT0100155;0102308;1;1592
03.03.2017;IT0100155;0102309;1;1592
03.03.2017;IT0100156;0102310;1;1592
03.03.2017;IT0100157;0102312;1;3032
03.03.2017;IT0100157;0102313;1;1839
03.03.2017;IT0100158;0102377;1;35188
03.03.2017;IT0100158;0102436;2;2856
03.03.2017;IT0100158;0102438;1;2856
03.03.2017;IT0100158;0102439;1;11920
03.03.2017;IT0100158;0102440;1;7040
03.03.2017;IT0100158;0102442;1;2194
03.03.2017;IT0100159;0102444;2;4392
03.03.2017;IT0100159;0102446;2;2194
03.03.2017;IT0100159;0102447;1;2194
03.03.2017;IT0100160;0102452;1;2194
03.03.2017;IT0100161;0102453;1;6696
03.03.2017;IT0100161;0102461;1;1739
03.03.2017;IT0100162;0102469;1;3984
03.03.2017;IT0100163;0102470;1;3984
03.03.2017;IT0100163;0102471;1;3984
03.03.2017;IT0100163;0102474;2;17592
03.03.2017;IT0100163;0102482;2;1396
03.03.2017;IT0100164;0102491;2;996
03.03.2017;IT0100164;0102492;1;1032
03.03.2017;IT0100165;0102493;1;1032
03.03.2017;IT0100165;0102548;1;35264
03.03.2017;IT0100165;0102584;1;1396
03.03.2017;IT0100165;0102721;1;996
03.03.2017;IT0100166;0102722;1;1032
03.03.2017;IT0100167;0102723;1;337
03.03.2017;IT0100167;0103151;1;1999
