Класс;Код Клиента;Квартал
без предпочтений;1000049498;01.01.2016
непостоянные приверженцы;1000049498;01.04.2016
активные приверженцы;1000049498;01.07.2016
активные приверженцы;1000049498;01.10.2016
активные приверженцы;1000049498;01.01.2017
частичные приверженцы;1000049498;01.04.2017
без предпочтений;1000049498;01.07.2017
частичные приверженцы;1000049498;01.10.2017
непостоянные приверженцы;10008068686;01.01.2016
активные приверженцы;10008068686;01.04.2016
активные приверженцы;10008068686;01.07.2016
активные приверженцы;10008068686;01.10.2016
непостоянные приверженцы;10008068686;01.01.2017
без предпочтений;10008068686;01.04.2017
непостоянные приверженцы;10008068686;01.07.2017
частичные приверженцы;10008068686;01.10.2017
активные приверженцы;10008759656;01.01.2016
непостоянные приверженцы;10008759656;01.04.2016
непостоянные приверженцы;10008759656;01.07.2016
активные приверженцы;10008759656;01.10.2016
без предпочтений;10008759656;01.01.2017
без предпочтений;10008759656;01.04.2017
активные приверженцы;10008759656;01.07.2017
непостоянные приверженцы;10008759656;01.10.2017
активные приверженцы;1001139528;01.01.2016
активные приверженцы;1001139528;01.04.2016
частичные приверженцы;1001139528;01.07.2016
активные приверженцы;1001139528;01.10.2016
частичные приверженцы;1001139528;01.01.2017
активные приверженцы;1001139528;01.04.2017
активные приверженцы;1001139528;01.07.2017
без предпочтений;1001139528;01.10.2017
активные приверженцы;10030725606;01.01.2016
активные приверженцы;10030725606;01.04.2016
активные приверженцы;10030725606;01.07.2016
активные приверженцы;10030725606;01.10.2016
непостоянные приверженцы;10030725606;01.01.2017
активные приверженцы;10030725606;01.04.2017
активные приверженцы;10030725606;01.07.2017
активные приверженцы;10030725606;01.10.2017
активные приверженцы;1004269658;01.01.2016
непостоянные приверженцы;1004269658;01.04.2016
активные приверженцы;1004269658;01.07.2016
непостоянные приверженцы;1004269658;01.10.2016
непостоянные приверженцы;1004269658;01.01.2017
без предпочтений;1004269658;01.04.2017
непостоянные приверженцы;1004269658;01.07.2017
активные приверженцы;1004269658;01.10.2017
активные приверженцы;10045215747;01.01.2016
активные приверженцы;10045215747;01.04.2016
частичные приверженцы;10045215747;01.07.2016
непостоянные приверженцы;10045215747;01.10.2016
частичные приверженцы;10045215747;01.01.2017
активные приверженцы;10045215747;01.04.2017
непостоянные приверженцы;10045215747;01.07.2017
без предпочтений;10045215747;01.10.2017
без предпочтений;1004660672;01.01.2016
непостоянные приверженцы;1004660672;01.04.2016
активные приверженцы;1004660672;01.07.2016
без предпочтений;1004660672;01.10.2016
активные приверженцы;1004660672;01.01.2017
активные приверженцы;1004660672;01.04.2017
активные приверженцы;1004660672;01.07.2017
активные приверженцы;1004660672;01.10.2017
непостоянные приверженцы;10050935915;01.01.2016
непостоянные приверженцы;10050935915;01.04.2016
активные приверженцы;10050935915;01.07.2016
частичные приверженцы;10050935915;01.10.2016
активные приверженцы;10050935915;01.01.2017
непостоянные приверженцы;10050935915;01.04.2017
активные приверженцы;10050935915;01.07.2017
активные приверженцы;10050935915;01.10.2017
частичные приверженцы;1005282120;01.01.2016
активные приверженцы;1005282120;01.04.2016
непостоянные приверженцы;1005282120;01.07.2016
активные приверженцы;1005282120;01.10.2016
активные приверженцы;1005282120;01.01.2017
непостоянные приверженцы;1005282120;01.04.2017
активные приверженцы;1005282120;01.07.2017
непостоянные приверженцы;1005282120;01.10.2017
